Date,ID,Tweet,User id,User name,User screen name,User location,User url,User description,place,Entities,Stock Symbol,Company
2019-12-25 23:57:32,1209986567785172993,"RT @proustmalone: CNN, which is owned by telecoms giant AT&amp;T, is showing millions of people a fluke poll from November that has Bernie in f…",613072319,cauliflower crust,saladforkdaddy,"Billerica, MA",,the jazz man cometh,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'proustmalone', 'name': 'pete buttigieg is a republican', 'id': 114232540, 'id_str': '114232540', 'indices': [3, 16]}], 'urls': []}",T,AT&T
2019-12-25 23:55:05,1209985948462833665,International Bowl 2020 kicks off at AT&amp;T Stadium in Dallas https://t.co/kot9AbCzDH #americanfootball,2274266995,Roger Kelly,RogerKelly18,Sweden,http://t.co/Ub02VSt651,Managing editor/partner for American Football International. Proud follower of football everywhere and especially the Canadian Football League.,,"{'hashtags': [{'text': 'americanfootball', 'indices': [88, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kot9AbCzDH', 'expanded_url': 'http://bit.ly/2PUUxfj', 'display_url': 'bit.ly/2PUUxfj', 'indices': [64, 87]}]}",T,AT&T
2019-12-25 23:54:12,1209985726382792705,@c_assady @AppleSupport @FirstNet @ATT Agreed. You aren’t the only one either. It seems to be trendy with FirstNet/… https://t.co/s4rqOa8nNm,925813773205680131,tezzywade,wadeontea34,"Illinois, USA",,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'c_assady', 'name': 'cass', 'id': 796930702793179136, 'id_str': '796930702793179136', 'indices': [0, 9]}, {'screen_name': 'AppleSupport', 'name': 'Apple Support', 'id': 3309375033, 'id_str': '3309375033', 'indices': [10, 23]}, {'screen_name': 'FirstNet', 'name': 'FirstNet, Built with AT&T', 'id': 2528690540, 'id_str': '2528690540', 'indices': [24, 33]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [34, 38]}], 'urls': [{'url': 'https://t.co/s4rqOa8nNm', 'expanded_url': 'https://twitter.com/i/web/status/1209985726382792705', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",T,AT&T
2019-12-25 23:53:42,1209985603401637888,"//Fuck me I am so sorry to say this...But two things are going to happen. First, AT&amp;T is turning my phone off till… https://t.co/lR68DMOdId",1154782569751351296,Fang Steel,Lovable_Breeder,Breeding your wife,,"Red Alpha Wolf \/ 18+ (N)SFW Multi-Muse RP \/ Bi \/ No Art is mine \/ Absolutely NO MINORS, ANONS OR NON-RP/IRL ACCOUNTS!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lR68DMOdId', 'expanded_url': 'https://twitter.com/i/web/status/1209985603401637888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",T,AT&T
2019-12-25 23:53:31,1209985556286988288,"iPhone 7 Plus
• Color: (Product) Red
• Carrier: AT&amp;T/Cricket
• GBs: 32GB
• Flaws: Very small crack on home button w… https://t.co/WGlmua07wn",1084893231555506178,"Mr. Fix It: The Technician, LLC",mrfixitthetech,"Jonesboro, GA",https://t.co/Eq81zHkKwc,iPhone Repairs📱| Apple Watch Repairs⌚️ iPad Repairs🛠 | Macbook Repairs💻 Buy📲Sell💰Trade🏧 📶Carrier Unlocks Mobile Repair AVAIL📲👨🏽‍🔧🚗 CEO: @thattguyzae,"Place(_api=<tweepy.api.API object at 0x000001FBA84C7188>, id='4ff21355b6fb2bda', url='https://api.twitter.com/1.1/geo/id/4ff21355b6fb2bda.json', place_type='city', name='Jonesboro', full_name='Jonesboro, GA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001FBA84C7188>, type='Polygon', coordinates=[[[-84.368715, 33.5026909], [-84.342143, 33.5026909], [-84.342143, 33.543533], [-84.368715, 33.543533]]]), attributes={})","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WGlmua07wn', 'expanded_url': 'https://twitter.com/i/web/status/1209985556286988288', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",T,AT&T
2019-12-25 23:53:13,1209985480126799873,Fire TV Stick 4K by Amazon publicly shared a new Internet speed test report for AT&amp;T Corp/US https://t.co/h0FP9eYbKO https://t.co/udvJgXndxF,877942035625463809,analiti - Speed Test WiFi Analyzer,analitiWiFi,,https://t.co/grvcOdVu1A,"Powerful set of network testing and analysis tools for:
* Android TV, Android Phones & Tablets
* Amazon Fire TV, Fire Tablets",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/h0FP9eYbKO', 'expanded_url': 'https://analiti.com/shared/4509b3f6-4b18-4ae7-90a7-1a1707bd6ee0', 'display_url': 'analiti.com/shared/4509b3f…', 'indices': [97, 120]}], 'media': [{'id': 1209985479162171393, 'id_str': '1209985479162171393', 'indices': [121, 144], 'media_url': 'http://pbs.twimg.com/media/EMq7YezXkAEfeTB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EMq7YezXkAEfeTB.jpg', 'url': 'https://t.co/udvJgXndxF', 'display_url': 'pic.twitter.com/udvJgXndxF', 'expanded_url': 'https://twitter.com/analitiWiFi/status/1209985480126799873/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 448, 'h': 252, 'resize': 'fit'}, 'medium': {'w': 448, 'h': 252, 'resize': 'fit'}, 'large': {'w': 448, 'h': 252, 'resize': 'fit'}}}]}",T,AT&T
2019-12-25 23:53:06,1209985450435178496,"RT @proustmalone: CNN, which is owned by telecoms giant AT&amp;T, is showing millions of people a fluke poll from November that has Bernie in f…",720120356812496896,Green Tea for Life,FunnyMcLaughtr,4th mote in your 3rd 👁 ,,"A planet of beings singing different parts of the same song, just trying to learn my part and expand my range.",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'proustmalone', 'name': 'pete buttigieg is a republican', 'id': 114232540, 'id_str': '114232540', 'indices': [3, 16]}], 'urls': []}",T,AT&T
2019-12-25 23:51:54,1209985147841310721,"Want to work in Vestal, NY? View our latest opening: https://t.co/OJlrrdtNO9 #Goals #TechCareers",15857879,attCAREERS,attCAREERS,,http://t.co/zS6DFoT3P9,New jobs are popping up all the time – and this is where you can see them first. Want to know more about working here? Be sure to follow us over at @attjobs.,"Place(_api=<tweepy.api.API object at 0x000001FBA84C7188>, id='00e0af44191953c7', url='https://api.twitter.com/1.1/geo/id/00e0af44191953c7.json', place_type='city', name='Vestal', full_name='Vestal, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001FBA84C7188>, type='Polygon', coordinates=[[[-76.108837, 41.998983], [-75.946902, 41.998983], [-75.946902, 42.11479], [-76.108837, 42.11479]]]), attributes={})","{'hashtags': [{'text': 'Goals', 'indices': [77, 83]}, {'text': 'TechCareers', 'indices': [84, 96]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OJlrrdtNO9', 'expanded_url': 'http://bit.ly/2t3hfbM', 'display_url': 'bit.ly/2t3hfbM', 'indices': [53, 76]}]}",T,AT&T
2019-12-25 23:49:02,1209984426450411520,"iPhone 7 Plus
• Color: (Product) Red
• Carrier: AT&amp;T/Cricket
• GBs: 32GB
• Flaws: Very small crack on home button w… https://t.co/2oh5bHK7sj",1084893231555506178,"Mr. Fix It: The Technician, LLC",mrfixitthetech,"Jonesboro, GA",https://t.co/Eq81zHkKwc,iPhone Repairs📱| Apple Watch Repairs⌚️ iPad Repairs🛠 | Macbook Repairs💻 Buy📲Sell💰Trade🏧 📶Carrier Unlocks Mobile Repair AVAIL📲👨🏽‍🔧🚗 CEO: @thattguyzae,"Place(_api=<tweepy.api.API object at 0x000001FBA84C7188>, id='4ff21355b6fb2bda', url='https://api.twitter.com/1.1/geo/id/4ff21355b6fb2bda.json', place_type='city', name='Jonesboro', full_name='Jonesboro, GA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001FBA84C7188>, type='Polygon', coordinates=[[[-84.368715, 33.5026909], [-84.342143, 33.5026909], [-84.342143, 33.543533], [-84.368715, 33.543533]]]), attributes={})","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2oh5bHK7sj', 'expanded_url': 'https://twitter.com/i/web/status/1209984426450411520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",T,AT&T
2019-12-25 23:46:56,1209983897926287360,"@lotusevangelist @b2bwhisperer RT @tmj_dtw_sales: AT&amp;T is hiring in #Detroit, MI! Click the link in our bio to appl… https://t.co/GsYDHdMczX",832305119542837248,B2B_BOT,B2B_Bot,,,I am a B2B bot that is not yet ready for prime time. Testing phase. NOMAD STERILIZE,,"{'hashtags': [{'text': 'Detroit', 'indices': [72, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LotusEvangelist', 'name': 'Keith Brooks', 'id': 12402972, 'id_str': '12402972', 'indices': [0, 16]}, {'screen_name': 'B2BWhisperer', 'name': 'B2B Whisperer', 'id': 844479003511717888, 'id_str': '844479003511717888', 'indices': [17, 30]}, {'screen_name': 'tmj_dtw_sales', 'name': 'Detroit Sales Jobs', 'id': 21723076, 'id_str': '21723076', 'indices': [34, 48]}], 'urls': [{'url': 'https://t.co/GsYDHdMczX', 'expanded_url': 'https://twitter.com/i/web/status/1209983897926287360', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",T,AT&T
